LINK,NAME,LIKES,DISLIKES,LIKE RATIO,DIFFICULTY,Accepted,Submitted,Acceptance %
https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest common ancestor of a binary tree,2742,156,0.946169772,Medium,371494,890695,0.42
https://leetcode.com/problems/wildcard-matching,Wildcard matching,1494,85,0.946168461,Hard,212974,892995,0.24
https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary tree zigzag level order traversal,1448,83,0.945787067,Medium,289353,647684,0.45
https://leetcode.com/problems/remove-k-digits,Remove k digits,1280,74,0.94534712,Medium,81020,296094,0.27
https://leetcode.com/problems/group-anagrams,Group anagrams,2402,140,0.944925256,Medium,464089,896703,0.52
https://leetcode.com/problems/split-array-largest-sum,Split array largest sum,1248,73,0.944738834,Hard,69087,159272,0.43
https://leetcode.com/problems/sliding-window-maximum,Sliding window maximum,2427,142,0.944725574,Hard,211860,524804,0.4
https://leetcode.com/problems/backspace-string-compare,Backspace string compare,956,56,0.944664032,Easy,92705,197140,0.47
https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest substring without repeating characters,7385,434,0.944494181,Medium,1264643,4303994,0.29
https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings,Minimum ascii delete sum for two strings,697,41,0.944444444,Medium,26935,47664,0.57
https://leetcode.com/problems/k-th-smallest-prime-fraction,K th smallest prime fraction,288,17,0.944262295,Hard,10717,25810,0.42
https://leetcode.com/problems/my-calendar-i,My calendar i,490,29,0.944123314,Medium,43568,87707,0.5
https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,Kth smallest element in a sorted matrix,1697,101,0.943826474,Medium,146138,282293,0.52
https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays,Maximum sum of two non overlapping subarrays,336,20,0.943820225,Medium,12097,21817,0.55
https://leetcode.com/problems/freedom-trail,Freedom trail,335,20,0.943661972,Hard,15828,38001,0.42
https://leetcode.com/problems/minimum-height-trees,Minimum height trees,1373,82,0.943642612,Medium,79710,255068,0.31
https://leetcode.com/problems/best-sightseeing-pair,Best sightseeing pair,318,19,0.943620178,Medium,12627,24477,0.52
https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Lowest common ancestor of a binary search tree,1515,92,0.942750467,Easy,344861,725733,0.48
https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree,Verify preorder serialization of a binary tree,625,38,0.942684766,Medium,65459,165648,0.4
https://leetcode.com/problems/ugly-number-ii,Ugly number ii,1260,77,0.942408377,Medium,125797,328400,0.38
https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,Best time to buy and sell stock iv,1060,65,0.942222222,Hard,108476,397259,0.27
https://leetcode.com/problems/diameter-of-binary-tree,Diameter of binary tree,1989,122,0.942207485,Easy,192306,399820,0.48
https://leetcode.com/problems/middle-of-the-linked-list,Middle of the linked list,765,47,0.942118227,Easy,101913,154772,0.66
https://leetcode.com/problems/next-greater-node-in-linked-list,Next greater node in linked list,435,27,0.941558442,Medium,26892,47429,0.57
https://leetcode.com/problems/maximum-depth-of-n-ary-tree,Maximum depth of n ary tree,562,35,0.941373534,Easy,81436,121608,0.67
https://leetcode.com/problems/132-pattern,132 pattern,963,60,0.941348974,Medium,42075,148066,0.28
https://leetcode.com/problems/sudoku-solver,Sudoku solver,1279,80,0.941133186,Hard,158498,393852,0.4
https://leetcode.com/problems/longest-arithmetic-sequence,Longest arithmetic sequence,431,27,0.941048035,Medium,25034,47416,0.53
https://leetcode.com/problems/maximum-level-sum-of-a-binary-tree,Maximum level sum of a binary tree,191,12,0.9408867,Medium,22633,31882,0.71
https://leetcode.com/problems/predict-the-winner,Predict the winner,1201,76,0.940485513,Medium,59910,126706,0.47
https://leetcode.com/problems/merge-two-binary-trees,Merge two binary trees,2326,148,0.94017785,Easy,239010,330955,0.72
https://leetcode.com/problems/convert-bst-to-greater-tree,Convert bst to greater tree,1587,101,0.940165877,Easy,101388,190641,0.53
https://leetcode.com/problems/number-of-closed-islands,Number of closed islands,141,9,0.94,Medium,8183,13627,0.6
https://leetcode.com/problems/merge-k-sorted-lists,Merge k sorted lists,3486,223,0.939875977,Hard,521344,1386405,0.38
https://leetcode.com/problems/interleaving-string,Interleaving string,1062,68,0.939823009,Hard,132426,444506,0.3
